Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated robbery rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1992,         164.9,         109.0,         153.1,         125.5,         424.1,         120.5,         210.9,         151.2,         366.9,         249.8,          99.2,          21.5,         412.5,         122.2,          39.6,         129.9,          87.2,         271.4,          23.3,         429.0,         184.4,         221.5,         109.5,         124.5,         226.9,          26.9,          56.7,         331.3,          33.0,         285.2,         139.3,         596.9,         186.8,           7.9,         199.0,         136.2,         151.4,         180.7,          94.5,         170.6,          16.9,         218.2,         252.5,          55.9,           8.9,         137.8,         139.8,          43.5,         119.8,          18.0
1993,         159.5,         122.4,         162.9,         124.9,         405.1,         116.7,         196.7,         186.7,         357.6,         248.0,         103.6,          16.9,         381.2,         119.8,          53.9,         123.6,          90.4,         283.6,          21.3,         434.7,         175.7,         238.5,         112.7,         139.3,         241.8,          32.4,          62.4,         340.1,          27.3,         296.0,         138.4,         561.2,         192.4,           8.3,         192.7,         121.8,         129.6,         179.0,         101.1,         187.3,          15.0,         220.1,         224.4,          58.6,           9.0,         142.0,         137.1,          43.0,         113.4,          17.2
1994,         171.2,         146.2,         162.0,         128.7,         356.8,         106.9,         187.8,         161.6,         328.8,         222.6,         103.6,          18.4,         372.6,         130.2,          46.9,         115.1,          93.9,         267.2,          22.4,         402.5,         168.2,         228.9,         117.6,         162.5,         230.7,          32.7,          75.4,         352.4,          27.1,         288.0,         140.8,         476.7,         181.2,          11.1,         187.5,         128.1,         138.2,         186.7,          87.3,         186.1,          18.7,         207.4,         204.8,          63.6,          12.2,         132.8,         139.7,          42.4,         112.9,          16.6
1995,         185.8,         155.1,         173.8,         125.7,         331.2,          96.2,         163.2,         198.7,         299.9,         205.2,         130.8,          24.0,         330.8,         135.2,          53.0,         108.2,         103.7,         268.6,          26.9,         423.1,         150.4,         187.3,         123.7,         130.9,         204.0,          29.1,          65.2,         324.6,          27.4,         283.0,         154.5,         399.7,         179.2,          10.0,         178.7,         115.6,         137.9,         189.3,          92.3,         175.9,          25.9,         223.2,         179.8,          67.1,          10.9,         131.7,         132.7,          42.7,         105.1,          17.9
1996,         167.0,         117.0,         167.8,         114.1,         295.6,          98.2,         169.6,         179.9,         289.2,         205.4,         135.6,          20.3,         279.4,         124.1,          45.1,          96.3,          93.8,         276.6,          23.5,         393.2,         127.7,         176.2,         115.6,         134.2,         170.6,          29.7,          63.7,         307.6,          27.3,         235.8,         162.4,         340.0,         163.9,          11.0,         164.1,         106.8,         122.2,         189.0,          83.2,         172.0,          18.9,         223.7,         171.5,          68.9,          15.4,         122.6,         119.0,          40.4,          96.6,          20.4
1997,         160.5,         106.4,         165.7,         111.5,         252.5,          83.3,         152.9,         243.6,         276.1,         206.7,         118.2,          19.6,         278.4,         132.4,          55.9,          97.7,          90.7,         239.1,          20.7,         336.8,         109.1,         152.8,         114.7,         137.0,         156.1,          20.4,          66.2,         302.4,          23.4,         210.6,         171.4,         309.3,         172.6,           6.4,         158.7,         103.9,         117.5,         156.3,          71.6,         176.2,          23.3,         214.0,         157.0,          68.4,          13.4,         124.5,         120.0,          43.1,         100.9,          17.7
1998,         130.9,          86.6,         165.2,          96.2,         210.6,          81.5,         133.8,         194.2,         242.7,         187.2,         102.7,          21.5,         248.5,         111.2,          50.9,          87.0,          88.1,         198.0,          21.1,         298.7,          96.6,         155.8,          92.5,         123.3,         149.2,          26.4,          77.6,         254.9,          21.5,         186.2,         163.4,         270.3,         160.8,          10.2,         133.5,          92.0,         105.2,         164.9,          66.7,         154.9,          20.2,         178.0,         145.1,          55.1,           9.5,         105.6,         115.6,          37.3,          85.6,          16.2
1999,         121.2,          91.4,         152.5,          79.3,         181.1,          75.3,         123.5,         198.0,         211.6,         166.4,          88.1,          17.8,         217.4,         109.3,          36.6,          77.1,          78.4,         173.6,          19.4,         263.7,          96.0,         143.0,          82.0,         111.6,         130.7,          27.1,          75.9,         232.6,          21.4,         174.9,         148.2,         240.8,         158.0,           8.8,         128.0,          82.9,          86.2,         155.7,          79.5,         148.2,          14.0,         156.8,         146.7,          54.4,          10.9,         101.1,         100.9,          36.6,          84.7,          15.4
2000,         128.2,          78.2,         146.3,          74.8,         177.9,          70.5,         112.5,         177.9,         199.0,         161.9,          92.7,          17.2,         206.5,         103.3,          36.6,          76.2,          80.6,         168.5,          19.4,         256.0,          91.6,         138.0,          75.5,          95.0,         135.8,          22.5,          67.0,         227.3,          36.7,         161.1,         137.4,         213.6,         156.5,           8.7,         137.5,          75.8,          84.4,         147.8,          88.0,         155.0,          17.4,         166.4,         145.1,          55.6,          19.2,          88.9,          98.6,          41.4,          84.6,          14.2
2001,         125.0,          81.1,         167.1,          80.9,         186.7,          80.2,         121.8,         145.1,         200.7,         171.3,          93.1,          18.6,         199.1,         117.0,          39.4,          89.7,          80.3,         175.9,          20.6,         251.1,         101.2,         129.3,          75.4,         115.2,         137.8,          25.4,          65.6,         235.1,          35.3,         165.8,         147.2,         191.5,         162.1,           9.4,         151.0,          79.1,          79.1,         142.2,          93.0,         147.4,          13.6,         177.7,         165.4,          52.5,          17.5,          95.3,          99.0,          39.3,          82.2,          17.0
2002,         133.1,          76.2,         147.0,          93.3,         185.6,          79.5,         117.6,         143.2,         195.2,         157.2,          97.5,          17.9,         201.1,         107.4,          39.8,          79.8,          76.6,         159.1,          20.9,         246.2,         111.6,         118.0,          78.4,         117.1,         123.9,          31.1,          78.7,         236.1,          32.4,         162.7,         119.1,         191.6,         146.9,           9.1,         156.6,          85.0,          77.9,         139.2,          85.7,         140.7,          15.4,         162.6,         172.9,          49.2,          12.5,          95.5,          95.5,          36.4,          86.6,          18.6
2003,         134.1,          68.8,         136.6,          81.6,         179.8,          82.2,         120.8,         176.1,         185.4,         161.9,          93.5,          17.9,         188.0,         103.2,          38.4,          82.5,          78.3,         156.0,          22.1,         241.3,         124.8,         111.6,          77.1,         104.6,         116.9,          32.5,          67.1,         233.0,          37.2,         154.4,         103.1,         186.3,         145.2,           8.4,         147.7,          91.9,          79.9,         145.3,          77.1,         139.8,          13.6,         161.0,         167.5,          53.5,          10.0,          91.1,          93.3,          38.7,          80.3,          16.7
2004,         133.5,          68.0,         134.5,          86.3,         172.3,          81.3,         119.7,         161.8,         172.5,         153.1,          74.8,          17.3,         177.6,         102.4,          39.3,          66.3,          78.9,         145.7,          22.0,         229.7,         116.8,         112.2,          79.9,          86.3,         115.1,          25.1,          65.1,         210.3,          38.5,         150.6,         108.4,         173.8,         138.0,           6.8,         152.2,          87.7,          76.6,         149.1,          67.7,         130.3,          14.5,         150.4,         159.4,          51.1,          12.6,          92.2,          94.5,          42.7,          73.9,          13.2
2005,         141.7,          81.0,         144.1,          91.2,         176.0,          84.7,         112.3,         155.2,         169.6,         153.7,          78.6,          18.6,         182.2,         108.7,          38.9,          65.3,          88.4,         118.4,          24.5,         257.2,         121.8,         132.1,          92.1,          82.7,         124.1,          18.9,          59.2,         194.9,          27.9,         151.8,          98.3,         182.1,         145.7,           8.5,         162.8,          91.2,          68.1,         154.9,          72.3,         133.2,          18.7,         168.1,         156.1,          44.0,          12.2,          99.1,          92.0,          45.0,          82.4,          15.3
2006,         153.6,          89.5,         153.9,          97.8,         195.1,          80.4,         127.3,         209.8,         188.8,         165.6,          89.0,          20.0,         185.3,         113.6,          43.9,          67.9,          91.5,         138.3,          29.0,         256.0,         125.5,         140.9,         105.3,         112.0,         130.0,          24.7,          64.2,         282.0,          33.1,         153.1,         107.2,         178.5,         152.1,          11.8,         169.2,          87.9,          73.3,         169.6,          69.3,         136.6,          20.2,         184.5,         158.5,          48.7,          18.3,         101.8,         100.4,          46.9,         100.1,          14.0
2007,         159.9,          85.0,         154.0,         109.5,         193.4,          71.2,         122.9,         203.9,         209.1,         181.2,          87.4,          16.2,         179.7,         123.6,          44.4,          72.8,          95.9,         147.1,          26.5,         236.0,         108.9,         132.7,          91.8,          99.2,         131.5,          24.3,          62.8,         270.4,          34.3,         144.7,         117.9,         161.1,         149.4,          11.7,         160.0,          93.8,          76.4,         156.4,          71.8,         144.2,          14.8,         179.2,         162.2,          53.9,          12.7,          99.8,          94.0,          46.7,          97.8,          16.1
2008,         157.6,          94.0,         150.9,          97.3,         188.8,          68.9,         115.5,         211.5,         197.9,         183.9,          84.2,          15.7,         186.4,         118.9,          41.6,          60.0,          95.6,         141.5,          25.3,         234.4,         108.9,         132.4,          80.1,         104.8,         125.1,          21.1,          72.7,         249.4,          32.0,         146.3,         108.4,         163.1,         155.3,          11.4,         162.9,         101.5,          70.1,         151.6,          83.7,         147.2,          16.7,         173.8,         155.1,          51.9,          15.0,          96.2,          98.0,          49.4,          91.7,          16.3
2009,         133.1,          93.6,         124.3,          89.2,         173.4,          67.1,         113.7,         189.8,         166.7,         148.9,          79.5,          16.4,         177.6,         114.4,          39.9,          63.4,          84.4,         136.9,          30.3,         210.7,         113.2,         124.6,          68.7,         100.6,         124.2,          23.4,          67.9,         228.1,          34.3,         133.7,          96.1,         144.0,         126.1,          16.5,         153.1,          91.1,          65.3,         138.9,          74.5,         126.1,          14.4,         153.3,         153.4,          46.8,          17.9,          80.5,         100.7,          50.2,          86.7,          14.3
