Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated murder rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1991,          11.5,           7.4,           7.8,          11.1,          12.7,           5.9,           5.7,           5.4,           9.4,          12.8,           4.0,           1.8,          11.3,           7.5,           2.0,           6.1,           6.8,          16.9,           1.2,          11.7,           4.2,          10.8,           3.0,          12.8,          10.5,           2.6,           3.3,          11.8,           3.6,           5.2,          10.5,          14.2,          11.4,           1.1,           7.2,           7.2,           4.6,           6.3,           3.7,          11.3,           1.7,          11.0,          15.3,           2.9,           2.1,           9.3,           4.2,           6.2,           4.8,           3.3
1992,          11.0,           7.5,           8.1,          10.8,          12.7,           6.2,           5.1,           4.6,           9.0,          11.0,           3.6,           3.5,          11.4,           8.2,           1.6,           6.0,           5.8,          17.4,           1.7,          12.1,           3.6,           9.9,           3.3,          12.2,          10.5,           2.9,           4.2,          10.9,           1.6,           5.1,           8.9,          13.2,          10.6,           1.9,           6.6,           6.5,           4.7,           6.2,           3.6,          10.4,            .6,          10.4,          12.7,           3.0,           2.1,           8.8,           5.0,           6.3,           4.4,           3.6
1993,          11.6,           9.0,           8.6,          10.2,          13.1,           5.8,           6.3,           5.0,           8.9,          11.4,           3.8,           2.9,          11.4,           7.5,           2.3,           6.4,           6.6,          20.3,           1.6,          12.7,           3.9,           9.8,           3.4,          13.5,          11.3,           3.0,           3.9,          10.4,           2.0,           5.3,           8.0,          13.3,          11.3,           1.7,           6.0,           8.4,           4.6,           6.8,           3.9,          10.3,           3.4,          10.2,          11.9,           3.1,           3.6,           8.3,           5.2,           6.9,           4.4,           3.4
1994,          11.9,           6.3,          10.5,          12.0,          11.8,           5.4,           6.6,           4.7,           8.3,          10.0,           4.2,           3.5,          11.7,           7.9,           1.7,           6.7,           6.4,          19.8,           2.3,          11.6,           3.5,           9.8,           3.2,          15.3,          10.5,           3.3,           3.1,          11.7,           1.4,           5.0,          10.7,          11.1,          10.9,            .2,           6.0,           6.9,           4.9,           5.9,           4.1,           9.6,           1.4,           9.3,          11.0,           2.9,           1.0,           8.7,           5.5,           5.4,           4.5,           3.4
1995,          11.2,           9.1,          10.4,          10.4,          11.2,           5.8,           4.6,           3.5,           7.3,           9.5,           4.7,           4.1,          10.3,           8.0,           1.8,           6.2,           7.2,          17.0,           2.0,          11.8,           3.6,           8.5,           3.9,          12.9,           8.8,           4.0,           2.9,          10.7,           1.8,           5.1,           8.8,           8.5,           9.4,            .9,           5.4,          12.2,           4.1,           6.3,           3.3,           7.9,           1.8,          10.6,           9.0,           3.9,           2.2,           7.6,           5.1,           4.9,           4.3,           2.1
1996,          10.0,           7.4,           8.5,           8.7,           9.1,           4.7,           4.8,           4.3,           7.5,           8.6,           3.4,           3.6,          10.0,           7.2,           1.9,           6.6,           5.9,          17.5,           2.0,          11.6,           2.6,           7.5,           3.6,          11.1,           8.1,           3.9,           2.9,          13.7,           1.7,           4.2,          11.5,           7.4,           8.5,           2.2,           4.8,           6.8,           4.0,           5.7,           2.5,           9.0,           1.2,           9.5,           7.7,           3.2,           1.9,           7.5,           4.6,           3.8,           4.0,           3.3
1997,           9.9,           8.9,           8.2,           9.9,           8.0,           4.0,           3.8,           3.0,           6.9,           7.5,           4.0,           3.2,           9.2,           7.3,           1.8,           5.8,           5.8,          15.7,           2.0,           9.9,           1.9,           7.8,           2.8,          13.1,           7.9,           4.8,           3.0,          11.2,           1.4,           4.2,           7.7,           6.0,           8.3,            .9,           4.7,           6.9,           2.9,           5.9,           2.5,           8.4,           1.4,           9.5,           6.8,           2.4,           1.5,           7.2,           4.3,           4.1,           4.0,           3.5
1998,           8.1,           6.7,           8.1,           7.9,           6.6,           4.6,           4.1,           2.8,           6.5,           8.1,           2.0,           2.9,           8.4,           7.7,           1.9,           6.6,           6.0,          12.8,           2.1,          10.0,           2.0,           7.3,           2.6,          11.4,           7.3,           2.0,           3.1,           9.7,           1.5,           4.0,          10.9,           5.1,           8.1,           1.1,           4.0,           6.1,           3.8,           5.3,           2.4,           8.0,           1.4,           8.5,           6.8,           2.1,           2.2,           6.2,           3.9,           4.3,           3.6,           4.8
1999,           7.9,           8.4,           8.0,           5.6,           6.0,           4.6,           3.3,           3.2,           5.7,           7.5,           3.7,           2.0,           7.7,           6.6,           1.5,           6.0,           5.1,          10.7,           2.0,           9.0,           2.0,           7.0,           2.8,           7.7,           6.6,           2.5,           3.6,           9.1,           1.5,           3.5,           9.8,           5.0,           7.2,           1.6,           3.5,           6.9,           2.7,           4.9,           3.6,           6.6,           2.5,           7.1,           6.1,           2.1,           2.9,           5.7,           3.0,           4.4,           3.4,           2.3
2000,           7.4,           4.3,           7.0,           6.3,           6.1,           3.1,           2.9,           3.2,           5.6,           8.0,           2.9,           1.2,           7.2,           5.8,           1.6,           6.3,           4.8,          12.5,           1.2,           8.1,           2.0,           6.7,           3.1,           9.0,           6.2,           2.2,           3.7,           6.5,           1.8,           3.4,           7.4,           5.0,           7.0,            .6,           3.7,           5.3,           2.0,           4.9,           4.3,           7.3,            .9,           7.2,           5.9,           1.9,           1.5,           5.7,           3.3,           2.5,           3.2,           2.4
2001,           8.5,           6.2,           7.5,           5.5,           6.4,           3.6,           3.1,           2.9,           5.3,           7.1,           2.6,           2.3,           7.8,           6.7,           1.7,           3.4,           4.4,          11.2,           1.5,           8.3,           2.2,           6.7,           2.4,           9.9,           6.6,           3.8,           2.5,           8.6,           1.3,           3.9,           5.4,           5.0,           6.2,           1.1,           4.0,           5.3,           2.4,           5.3,           3.7,           8.1,            .9,           7.4,           6.2,           2.9,           1.1,           5.1,           3.0,           2.2,           3.6,           1.8
2002,           6.8,           5.1,           7.1,           5.2,           6.8,           4.0,           2.4,           3.2,           5.5,           7.1,           1.9,           2.7,           7.6,           5.9,           1.5,           2.9,           4.7,          13.2,           1.1,           9.4,           2.7,           6.8,           2.2,           9.2,           5.8,           1.8,           2.8,           8.4,            .9,           4.0,           8.2,           4.8,           6.6,            .8,           4.6,           4.7,           2.0,           5.1,           3.8,           7.3,           1.4,           7.3,           6.0,           2.0,           2.1,           5.3,           3.0,           3.2,           2.8,           3.0
2003,           6.6,           6.0,           7.9,           6.6,           6.8,           4.1,           3.2,           2.6,           5.4,           7.6,           1.8,           1.9,           7.1,           5.5,           1.7,           4.6,           4.4,          13.0,           1.2,           9.5,           2.2,           6.1,           2.5,           9.3,           5.1,           3.3,           3.2,           8.8,           1.3,           4.7,           6.2,           4.9,           6.0,           1.4,           4.6,           5.9,           1.9,           5.2,           2.3,           7.3,           1.3,           6.8,           6.4,           2.6,           2.4,           5.6,           3.0,           4.0,           3.3,           2.8
2004,           5.6,           5.6,           7.2,           6.4,           6.7,           4.4,           2.9,           3.4,           5.4,           6.9,           2.6,           2.2,           6.1,           5.1,           1.5,           4.5,           5.7,          12.7,           1.4,           9.4,           2.7,           6.4,           2.2,           7.8,           6.1,           3.2,           2.3,           7.4,           1.3,           4.5,           8.9,           4.6,           6.2,           1.3,           4.4,           5.3,           2.5,           5.2,           2.4,           6.8,           2.2,           6.1,           6.1,           1.9,           2.6,           5.2,           3.1,           3.8,           2.8,           2.2
2005,           8.2,           4.8,           7.5,           6.8,           6.9,           3.7,           3.0,           4.4,           5.0,           6.2,           1.9,           2.4,           6.0,           5.7,           1.3,           3.7,           4.6,          10.0,           1.4,           9.9,           2.8,           6.2,           2.2,           7.4,           6.9,           1.9,           2.5,           8.5,           1.5,           4.8,           7.5,           4.5,           6.7,           1.9,           5.1,           5.3,           2.2,           6.1,           3.2,           7.4,           2.3,           7.2,           6.1,           2.2,           1.3,           6.1,           3.3,           4.5,           3.7,           2.8
2006,           8.3,           5.4,           8.6,           7.3,           6.8,           3.6,           3.9,           4.9,           6.2,           6.5,           1.6,           2.4,           6.1,           5.7,           1.8,           4.5,           4.1,          12.9,           1.7,           9.7,           2.9,           7.1,           2.4,           7.9,           6.3,           3.5,           2.9,           9.1,           1.0,           4.9,           6.9,           4.8,           6.1,           2.2,           4.9,           5.9,           2.4,           6.0,           2.5,           8.4,           3.8,           6.9,           5.9,           2.0,           2.2,           5.3,           3.1,           4.4,           3.0,           2.5
