Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated motor vehicle theft rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1997,         356.7,         457.1,         970.4,         314.6,         708.8,         413.7,         444.7,         581.0,         731.5,         595.4,         544.9,         200.7,         465.9,         428.0,         234.3,         248.1,         248.1,         606.0,         132.2,         602.0,         481.4,         668.4,         381.3,         341.6,         490.9,         247.9,         334.4,         788.3,         135.8,         511.2,         717.2,         439.4,         329.2,         180.0,         406.0,         441.5,         594.5,         367.8,         425.0,         419.0,         116.3,         628.6,         523.3,         444.1,         135.8,         280.5,         567.8,         181.0,         302.5,         134.8
1998,         341.7,         424.6,         865.1,         283.2,         598.5,         405.1,         388.1,         428.2,         698.9,         556.6,         468.9,         185.7,         439.5,         359.2,         208.7,         258.7,         247.8,         541.6,         121.3,         549.4,         429.5,         594.3,         325.2,         338.7,         449.8,         232.8,         348.0,         788.0,         124.4,         433.6,         619.9,         375.1,         326.2,         176.6,         383.8,         405.3,         526.0,         355.5,         387.6,         415.7,         103.4,         517.4,         489.1,         351.5,         147.9,         270.3,         618.7,         187.2,         272.0,         139.1
1999,         300.6,         429.1,         800.4,         261.2,         508.3,         364.8,         344.2,         403.8,         616.7,         515.1,         393.1,         151.6,         467.2,         341.4,         179.0,         227.9,         223.9,         496.2,         135.2,         492.0,         415.0,         575.8,         278.0,         488.8,         420.3,         212.3,         326.5,         723.7,         112.7,         434.2,         467.1,         320.2,         334.3,         163.5,         348.2,         361.3,         411.1,         327.1,         406.9,         371.7,         117.4,         460.6,         459.2,         346.6,         153.6,         261.2,         587.3,         208.2,         263.2,         124.3
2000,         288.0,         374.8,         842.1,         259.3,         537.4,         394.3,         384.6,         402.1,         558.0,         472.8,         504.6,         161.2,         404.7,         346.8,         183.6,         241.6,         229.5,         475.9,         103.7,         539.5,         407.6,         560.7,         273.0,         245.0,         441.4,         210.2,         305.6,         659.2,         173.8,         405.9,         403.6,         285.8,         313.9,         153.5,         343.7,         357.8,         407.2,         295.8,         445.0,         388.5,         105.7,         483.9,         446.8,         289.3,         132.9,         251.6,         594.1,         183.3,         272.9,         116.0
2001,         282.4,         413.2,         983.7,         271.6,         590.1,         473.8,         360.4,         348.9,         549.2,         447.2,         549.5,         180.9,         389.2,         350.9,         187.8,         295.5,         219.8,         485.1,         130.1,         594.6,         434.7,         535.7,         301.6,         331.3,         496.9,         201.1,         377.3,         700.9,         169.9,         443.0,         389.8,         253.0,         300.3,         170.6,         370.8,         362.3,         427.3,         290.3,         475.9,         411.1,         107.5,         491.7,         480.4,         285.8,         123.7,         261.8,         652.0,         178.6,         272.3,         141.0
2002,         310.1,         385.2,       1059.9,         251.7,         635.3,         515.1,         334.8,         379.3,         530.3,         445.2,         798.8,         195.6,         356.0,         329.5,         198.3,         266.0,         227.9,         451.0,         110.4,         624.2,         414.0,         495.1,         275.5,         332.2,         491.7,         195.9,         371.0,         806.8,         152.5,         417.0,         401.6,         247.5,         299.4,         160.6,         374.9,         366.0,         469.4,         266.2,         456.4,         411.0,         107.7,         458.4,         472.4,         333.0,         124.8,         253.5,         667.4,         216.0,         247.4,         148.9
2003,         332.1,         379.6,       1021.6,         220.2,         680.5,         501.7,         326.1,         359.8,         479.8,         500.1,         772.8,         193.6,         329.1,         335.0,         191.7,         287.4,         200.4,         437.4,         111.2,         660.4,         397.3,         532.7,         271.5,         312.1,         523.7,         207.6,         352.9,         929.8,         150.0,         400.4,         384.5,         235.3,         319.3,         170.2,         358.6,         369.5,         532.3,         270.3,         407.7,         380.6,         114.3,         452.9,         444.3,         331.7,         105.6,         244.1,         662.5,         191.2,         225.8,         158.9
2004,         309.9,         340.6,         963.5,         237.0,         704.8,         521.6,         320.5,         277.3,         450.5,         496.0,         683.0,         196.3,         317.6,         338.7,         190.8,         311.3,         211.8,         437.4,          99.1,         645.2,         344.1,         500.6,         265.2,         271.6,         449.6,         174.6,         302.5,         970.3,         150.6,         348.9,         415.2,         212.7,         316.0,         147.3,         355.0,         367.7,         516.1,         249.9,         377.6,         374.6,         109.9,         420.4,         418.6,         315.9,          94.5,         233.3,         696.5,         207.8,         206.7,         157.9
2005,         289.0,         391.0,         922.0,         262.0,         712.0,         560.0,         303.0,         279.0,         424.0,         487.0,         717.0,         202.0,         308.0,         347.0,         186.0,         340.0,         211.0,         319.0,         102.0,         610.0,         294.0,         478.0,         279.0,         258.0,         443.0,         211.0,         317.0,       1116.0,         103.0,         318.0,         412.0,         185.0,         328.0,         169.0,         362.0,         392.0,         529.0,         237.0,         410.0,         386.0,         108.0,         424.0,         408.0,         341.0,         108.0,         211.0,         783.0,         211.0,         228.0,         145.0
2006,         326.5,         378.5,         918.7,         267.4,         668.3,         434.6,         293.6,         337.9,         422.6,         460.6,         602.0,         166.1,         293.3,         342.0,         169.1,         315.6,         222.6,         365.4,         101.9,         543.5,         279.2,         496.2,         257.0,         286.2,         434.7,         206.1,         292.1,       1082.2,         113.0,         283.7,         472.2,         166.4,         339.9,         170.8,         330.9,         375.4,         395.5,         238.8,         338.0,         386.1,         106.7,         375.1,         405.9,         328.3,          99.4,         193.6,         726.0,         223.1,         252.5,         156.1
